a-eastell | at, in, or to the east of. | the process of changing or causing something to change from one form to another. | (of a person) show anger or irritation. | a pair of glasses.
agric | of, relating to, or used in agriculture | a person or organization that brings goods or services into a country from abroad for sale. | develop or be developed so as to make international influence or operation possible. | an opening in the side of a ship for boarding or loading.
anti-semiticism | prejudice, hostility, or discrimination towards jewish people on religious, cultural, or ethnic grounds | forcefulness. | a general term for disorders that involve difficulty in learning to read or interpret words, letters, and other symbols, but that do not affect general intelligence. | a luminous ring or halo, especially as depicted around the head of christ or a saint.
assault weapon | a weapon designed for use in a large-scale military assault, esp. one used to attack a fortified or well-defended location. now rare. | used in names of climbing plants similar to ivy, e.g. poison ivy, boston ivy. | the activity or practice of styling and furnishing a property for sale in such a way as to enhance its attractiveness to potential buyers. | a document, typically an official record, historically kept in scroll form.
awedde | overcome with anger, madness, or distress | a word, especially an adjective or noun used attributively, that restricts or adds to the sense of a head noun (e.g. good and family in a good family house). | impure matter that rises to the surface of liquid. | close of play in a cricket match.
awe-inspiringly | so impressively, spectacularly, or formidably as to arouse or inspire awe. | amaze or overwhelm (someone) with a particular impressive quality. | (of an animal) care for (its young) until they are fully grown. | a skin disease marked by red, itchy, scaly patches.
awel | any of various types of hook or hooked instrument | a friend, companion, or workmate (often used as a form of address) | denoting a diminutive breed or variety of dog. | feel intense dislike or disgust for.
awesomesauce | extremely good | characterized by or resembling punk rock music. | the amount swallowed or inhaled in a draught. | in a way that is not influenced by personal feelings or opinions.
awestell | at, in, or to the west of. | a retardation in an electric current or movement. | a large tropical butterfly, the male of which has bright blue iridescent wings. native to the central and south american rainforests, large numbers are caught each year for use in the jewellery trade. | relating to or denoting the peoples of ancient northern and western europe speaking germanic languages.
awfulize | intransitive. to class as awful or terrible. rare. | coming from outside. | the hereditary title of some princes of the holy roman empire. | make (something) less severe or extreme.
awfy | terrible, dreadful | the nose of a mammal, especially when it is long and mobile such as the trunk of an elephant or the snout of a tapir. | taking place or progressing slowly or by degrees. | existing, occurring, or carried on between nations.
awfy | as simple intensive: very, exceedingly, extremely. | (of a device) become fixed in a particular state. | rough fibre made from the stems of a tropical old world plant, used for making twine and rope or woven into sacking or matting. | the place at an airport or country's border where government officials check the documents of people entering that country.
bagel | transitive. to beat (an opponent) by a score of six games to love in a set. | relating to heat; calorific. | the quality of being objective. | wait on as an attendant or servant.
barthesian | a follower or advocate of the theories of roland barthes. | lead or take part in a vigorous campaign for social, political, or religious change. | an act of reading something quickly or superficially. | (of a person) not enjoying the same standard of living or rights as the majority of people in a society.
bauer | in germany and german-speaking countries: a peasant, a smallholder. | a nickname for a red-headed person. | move lightly and quickly, so as to appear and disappear; flicker. | a son of one's husband or wife by a previous marriage.
bemba | of, belonging to, or characteristic of the bemba | (of a person) pleasing or liked on account of having qualities or interests that are similar to one's own. | a person who nags or grumbles constantly (typically used of a woman) | direct the attention of someone to.
bialy | a chewy bread roll having a circular indentation filled with finely chopped onion. | a stupid person. | denoting a second unknown or unspecified person or thing. | exceed; be greater than.
bialystok | a chewy bread roll having a circular indentation filled with finely chopped onion | a moral or legal obligation; a responsibility. | the renunciation of the right to individual ownership of property as part of a religious vow. | a close-fitting cover for the blade of a knife or sword.
bird colonel | a full colonel, as distinct from a lieutenant colonel. also in full bird colonel. | an eating apple. | a shortening of the uterine muscles occurring at intervals before and during childbirth. | derogatory or mocking in an indirect way.
bochur | a boy or young man | the amount required to send a letter or parcel by post. | a swindle or confidence trick. | a synthetic drug of the corticosteroid type, used especially as an anti-inflammatory agent.
bokeh | blurring or hazing in the out-of-focus areas of a photographic image | a number of interlocked or jammed items. | strong winds, heavy rain, or other kinds of bad weather. | the tapered, sharp end of a tool, weapon, or other object.
bridge-burning | the action or process of burning bridges (literally and figuratively). | in a way that relates to education and scholarship. | particularly good, skilful, or effective. | moving in a constant direction on a road, path, or any more or less horizontal surface.
bridge-burning | that burns bridges (literally and figuratively). | a small, typically evergreen eurasian shrub with sweet-scented flowers. | look at someone in a way that reveals a particular, especially sexual, interest. | a person or thing regarded as a source of glory, inspiration, etc.
bridger | a person who maintains or has charge of a bridge | a medical examination to determine a person's bodily fitness. | a scribe. | a consonant produced by bringing one articulator (the tongue or lips) close to another without actually touching it, as in english r and w.
brightonian | a native or resident of brighton. | the ratio of the change in an electric charge in a system to the corresponding change in its electric potential. | food. | a person who causes trouble by drinking, being violent, or otherwise behaving outrageously.
brik | esp. in tunisia and elsewhere in north africa: a filo pastry, often triangular in form, with a savoury filling. | increase the volume of (one's voice) | a bone (used chiefly in latin names of individual bones, e.g. os trapezium). | (of time) pass or go by.
broigus | angry | a lookout posted by those engaged in illegal activity. | uncontrollable. | an unspecified large number.
buka | a roadside restaurant or street stall with a seating area, selling cooked food at low prices. | a sloping snow-covered course or track used for skiing, bobsleighing, or tobogganing. | coming at the beginning of something; initial. | corresponding in pattern, colour, or design; complementary.
bukateria | a roadside restaurant or street stall with a seating area, selling cooked food at low prices. | a number of computers linked together via the internet so that their combined power may be harnessed to work on difficult problems. | fill (a place) with inhabitants. | cause to last longer.
